gene,cell_id,drug_id,label,de_logfc
P31645,BDB,CID125017,1,-0.16494105461952557
P21554,BDB,CID57340795,1,0.0407940710291248
P41595,BDB,CID57340315,1,0.4681313053044054
P14867,BDB,CID5556,1,0.0
P21917,BDB,CID4913274,1,0.4768231802171936
P49146,BDB,CID91898415,1,-0.9307270426126237
P34903,BDB,CID9823370,1,0.6838116476857863
P08588,BDB,CID2405,1,-0.18027984433727084
P48039,BDB,CID5311134,1,0.020372483845029876
P08912,BDB,CID1734,1,1.2092596223083358
P35372,BDB,CID6917707,1,-0.2243959386302361
P28221,BDB,CID5074,1,-0.8582610461811795
Q9UBL9,BDB,CID4179055,1,0.0
P14416,BDB,CID10381810,1,-0.17826817830995623
O60755,BDB,CID91898915,1,0.10001054772062545
P31644,BDB,CID3380,1,0.19153657984600514
P21452,BDB,CID55582,1,0.7836489425343753
P21917,BDB,CID16362,1,0.8747631888892311
P35367,BDB,CID57340802,1,0.0
P98161,BDB,CID18433653,1,1.0030910769771424
P35367,BDB,CID2995,1,-0.9542425094393252
P14416,BDB,CID16041630,1,-0.48647675860106077
P25100,BDB,CID16041628,1,0.23564776119194253
Q9H3N8,BDB,CID2790,1,-0.07355897622253416
P28221,BDB,CID5202,1,0.437373917596096
P25929,BDB,CID91898415,1,-0.3766553936042536
P28221,BDB,CID5073,1,-0.8579593480225354
P41145,BDB,CID57340759,1,0.4079242295786383
P31645,BDB,CID114743,1,1.0546717883765027
P28221,BDB,CID9681,1,-0.15671990210752895
P35372,BDB,CID57340768,1,0.9516953204254452
P34969,BDB,CID5073,1,0.5786204567476148
P50406,BDB,CID3964,1,0.021058556576279308
P41145,BDB,CID4428,1,0.13290766627957495
P21917,BDB,CID10381810,1,0.4768231802171936
P35372,BDB,CID12313112,1,0.151267675330649
P41143,BDB,CID6603759,1,1.2522460504731185
P14416,BDB,CID941651,1,0.9466705582983437
P34903,BDB,CID5448,1,-0.7722038181039705
P35372,BDB,CID25075996,1,-0.42276359239706984
P25100,BDB,CID5265,1,0.4798772906856552
P08912,BDB,CID23900142,1,1.5228787452803374
P35348,BDB,CID37459,1,-0.7052443901650172
Q969V1,BDB,CID57340400,1,0.11495451570169823
P35372,BDB,CID57340755,1,1.084320885700036
P08912,BDB,CID3661,1,1.5314789170422554
P98161,BDB,CID57340587,1,-0.7188372491676613
P34969,BDB,CID28693,1,0.5423933215780732
P35372,BDB,CID10322880,1,0.49405241910163156
P29275,BDB,CID176407,1,0.02426185340191367
P35348,BDB,CID10442840,1,0.441192102163118
P21917,BDB,CID5736,1,-0.461028913033962
P35367,BDB,CID3396,1,-0.07918124604762511
P21917,BDB,CID54592327,1,-0.692785951310567
P35372,BDB,CID20516612,1,0.2762064119389489
P35367,BDB,CID3100,1,-0.13956426617584938
P34969,BDB,CID10835110,1,0.742539608748519
P41595,BDB,CID9921157,1,0.6797857058575882
P08912,BDB,CID3602,1,-0.568891628075308
Q969V1,BDB,CID91898991,1,1.2910457747573796
P98161,BDB,CID5476508,1,0.0
P35372,BDB,CID13493,1,0.9294189257142929
P21917,BDB,CID3396,1,0.34116057821712076
P28335,BDB,CID443951,1,-0.3297246759432557
P34903,BDB,CID4266,1,0.025066645310481306
P35367,BDB,CID4011,1,1.1023729087095582
P31645,BDB,CID9925999,1,1.3006542177095781
P35367,BDB,CID3696,1,-0.4232458739368079
P28221,BDB,CID108029,1,-0.3005447897483249
P14416,BDB,CID71351,1,1.2019430634016501
Q01959,BDB,CID11472190,1,-0.2618311938236193
P14416,BDB,CID5452,1,-0.44150961308453773
P14416,BDB,CID9903970,1,0.2988530764097064
P20309,BDB,CID132947,1,-0.1693316754083849
P0DMS8,BDB,CID44282851,1,-0.28679234619282035
P31645,BDB,CID57340810,1,0.010089655723762192
P21917,BDB,CID2818,1,-0.41029378079833645
P07550,BDB,CID2687,1,0.15302539851951558
P23975,BDB,CID2170,1,0.026328938722349093
P41143,BDB,CID5359272,1,0.1618998069674511
P35348,BDB,CID2726,1,0.878332195468932
P41145,BDB,CID5288826,1,-1.6297801575568576
P25100,BDB,CID11957615,1,0.9301786009982163
