gene,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62,g63
A8MPY1,-5.7029276,-1.6371026,-0.6234279,-0.005863162,-0.08295834,-0.41826916,-0.32651177,-0.8531712,-0.45192838,-1.1277591,-0.51960343,0.7775645,-0.5196141,-0.35302767,-0.9273081,0.5174301,-0.9786406,0.41444278,0.04351428,-0.12335148,0.3492948,-0.67093134,0.13913772,-0.44573385,-0.440243,-0.1573987,-0.2521831,-0.09297823,-1.006926,-0.624581,-0.42902708,-0.53954315,-0.58881205,-0.12154236,-0.8528093,-0.5645005,-0.77429914,-0.45567736,-0.07997295,-0.1875356,0.046306517,-0.82390386,-0.4811037,0.022803484,-0.053781055,0.09731282,0.23532063,-0.15716378,0.022758484,-0.260848,-0.18451662,0.1723588,0.039374664,-0.20531629,0.057944942,0.014112385,0.2548973,-0.32030362,-0.4685853,0.08862879,-0.34769362,-0.18285988,0.19379047,-0.2064932
O00141,-5.6798215,-1.6235876,-0.61603653,-0.017510684,-0.07205958,-0.36615568,-0.27431366,-0.73997724,-0.31762242,-0.9017458,-0.45324808,-0.56089306,-1.164509,-0.2680071,-1.1866422,0.56072044,-1.0525382,0.49036252,0.056430314,-0.05427034,0.3367026,-0.7299433,0.17033195,-0.5072458,-0.47288427,-0.1693345,-0.2807645,-0.014969601,-1.2834897,-0.65361583,-0.39417684,-0.6644879,-0.5117217,-0.276871,-0.8860349,0.06902249,0.008165476,-0.23973419,-0.6490448,-0.36011127,0.078037694,-1.0071124,-0.9697959,-0.046774805,-0.044494614,0.086396344,0.5446894,-0.98977077,0.26444134,-1.102389,-1.4412956,1.7422674,-0.47845042,2.3708694,-0.18585692,0.13014267,-0.6100762,0.51211804,0.11745148,-0.005917369,0.065705255,0.047988024,-0.09099993,0.020574393
O00222,-5.38889,-1.3201369,-0.60628706,-0.07917627,0.30788365,-0.41324565,0.036554225,-0.7835677,-0.31929162,-0.9411794,-0.57980806,-0.58913136,-1.29608,-0.25713116,-1.2352892,0.911212,-1.1426742,0.20742649,0.059921164,0.050067168,0.31206408,-0.7644377,0.88679564,-0.7280373,-0.5968773,0.25914884,-0.70417625,-0.018701848,-2.6106977,-0.7211861,-0.50896186,-2.256122,-1.8758506,2.757167,3.868173,-0.47296476,0.07208608,0.28930515,0.30316648,0.36929837,-0.066109814,0.074140124,-0.2531369,-0.1234522,-0.06443456,-0.34789202,-0.120478116,-0.7173206,0.69916606,0.6667918,-0.0031526182,-0.7629204,-2.0431418,-0.0550996,1.0741193,0.8109346,-0.24925199,0.11990437,-1.6550218,0.5354367,-1.2326851,0.6607038,4.5811186,5.0414968
O15245,-5.2513566,-1.6636869,-0.696978,-0.19092135,-0.5407849,-0.36405972,-0.34293962,-0.74965394,-0.3719569,-0.94718266,-0.114617035,-0.35145643,-0.96528393,-0.4135277,-1.1517656,0.7677973,-0.9278885,0.28005642,0.40023065,0.043697678,0.2229689,-0.5618788,0.26642147,-0.38142017,-0.46366236,-0.55684805,-0.15210012,0.42333543,-1.0531995,-0.527768,-0.7041685,-0.69483376,-0.27111676,-0.2395413,-0.51897365,0.32249686,0.3678375,-0.08869258,-0.33950725,-0.035038225,-0.47113276,-0.64000833,-1.1109381,0.42104334,-0.22683474,-0.6961667,0.49655572,0.70711285,0.026747039,-0.53851515,-0.5465216,0.49516833,-0.26015157,-0.39119175,-0.050114118,-0.02642168,0.63667357,-0.1883426,-0.8980334,0.10412974,-0.7450831,-0.40752593,-0.16251491,-0.15218498
O15303,-5.429361,-1.3366216,-0.618466,-0.08203921,0.31386575,-0.42865363,0.033691607,-0.82373405,-0.3354503,-0.9980285,-0.6125154,-0.628434,-1.3823069,-0.2826467,-1.3356217,0.9784734,-1.2607256,0.24791403,0.07020541,0.038107045,0.37287197,-0.8985117,0.99314857,-0.85473627,-0.72038335,0.27531996,-0.88203895,-0.033051245,-3.4999924,-1.0446473,-0.7699673,-3.3907135,-3.1317275,4.842377,6.689573,-1.2016256,0.30127037,0.518072,0.50362134,0.18522325,0.16564742,1.615122,0.26396096,-0.10039303,0.064020105,-0.62335485,0.12975286,-0.9359397,0.6348932,0.7451884,0.04130023,-1.1496639,-2.339401,0.026153201,1.0955842,0.9151433,-0.36210895,0.28426003,-1.252247,0.40263337,-0.84539014,0.45743242,3.3413248,3.823182
O43603,-6.054306,-1.7949607,-0.7312743,-0.022866454,-0.10245694,-0.5448192,-0.41911128,-1.2039881,-0.5350153,-1.5750916,-0.81813616,-1.060276,-2.4019682,-0.60640633,-2.8683767,1.4149845,-3.1977797,2.1439826,0.3701587,-1.4820316,16.224592,21.910543,-2.3671925,3.4707708,2.122873,0.6847943,0.4752432,0.020777563,1.5342447,0.73252827,0.35208586,0.5174228,0.32710686,0.15203243,0.48390564,-0.03064085,-0.0035649813,0.09769152,0.24188621,0.12189525,-0.024877213,0.31296605,0.25858456,0.008640105,0.002129118,-0.020776033,-0.08297108,0.081818506,-0.011333922,0.047812868,0.045600384,-0.04080447,-0.0049424632,0.05383543,-0.0075552724,0.03522205,-0.08351684,0.1551577,0.084847875,-0.018447652,0.088376395,0.08001744,-0.10791584,0.08728706
O60674,-5.8523746,-1.7016253,-0.6672735,-0.0198143,-0.084705,-0.4391702,-0.33285794,-0.92273116,-0.4019823,-1.1589113,-0.5905773,-0.7449135,-1.6020269,-0.3822655,-1.73536,0.8331428,-1.6689773,0.8683743,0.11011789,-0.12639344,0.80621004,-1.9364359,0.49056077,-1.75786,-2.094762,-0.82542264,2.5400836,0.061658856,3.461809,1.505251,0.5546276,0.7137329,0.38061106,0.15597269,0.49538514,-0.025659317,-0.0028278108,0.07913569,0.18051912,0.082587756,-0.016346069,0.19884425,0.14583918,0.004677655,0.0031983166,-0.004859548,-0.018556185,0.021485448,-0.004109466,0.011770042,0.008227789,-0.004707093,-0.00020038435,0.0058896234,-0.0012176896,0.0007613021,-0.0012893461,-0.0026159212,-0.0018718416,0.0004037594,-0.0030078078,-0.0058223335,0.012062221,-0.010902581
O60755,-6.0028567,-1.7714543,-0.7155173,-0.022137912,-0.098326005,-0.5206026,-0.39950565,-1.1412827,-0.50566995,-1.4843036,-0.7689887,-0.9931034,-2.2359116,-0.5611075,-2.6435995,1.3009164,-2.9124289,1.9253136,0.32886314,-1.2954319,14.1501665,18.964567,-2.0378284,2.956922,1.7892787,0.57520753,0.3805817,0.016348653,1.187989,0.5629378,0.26247782,0.37748483,0.23029019,0.103713356,0.3297746,-0.019874495,-0.0022947574,0.06210413,0.1502257,0.07378421,-0.01483289,0.18515368,0.14678021,0.0043743784,-0.00040439478,-0.012091399,-0.04473352,0.035461314,-0.002776366,0.016798384,0.017894013,-0.021285051,-0.001706373,0.021390455,-0.0020984586,0.022123128,-0.03360487,0.076447,0.049501415,-0.012580319,0.052999347,0.043687373,-0.045511186,0.04057756
O60760,-6.409071,-1.9739121,-0.86378235,-0.06686407,-0.10402204,-1.0948508,-0.61911356,-3.3734927,-1.8389727,-6.872894,-3.990322,-14.328184,21.561998,1.0566471,5.2394266,-2.0575397,2.7884388,-0.12077812,0.16111484,0.14981554,-0.37977102,0.6888705,-0.034575008,0.29382572,-0.06684784,-0.09235778,-0.12080942,0.46568513,0.526259,-0.12307862,0.10644845,0.11856726,0.115861684,-0.07757761,0.26418188,0.07219114,-0.24651891,0.22105703,-0.116679095,-0.5694511,-0.28256777,0.028767362,0.37925068,-0.018998733,-0.07459299,0.28923917,0.41317979,0.14308678,-0.26175004,-0.119403616,-0.09062127,-0.12746076,-0.21987122,0.03989599,-0.035236843,0.015391078,0.14061543,-0.22733009,-0.24917373,1.4978918,0.46625122,0.11178455,-0.013940326,-0.052887954
O95153,-5.1794496,-1.6732298,-0.4405583,0.8756202,0.23897174,-0.7883078,-0.57137054,0.10468968,-0.35779995,0.16498472,0.4414636,0.03532907,-1.4340461,1.1572971,-0.8200123,0.008683464,1.7949927,0.21656851,-0.12601605,1.7031385,-1.069614,0.22216406,-0.48691952,-0.058283348,0.62824124,-0.7608878,0.004166461,2.081282,-2.7561696,1.9621233,1.6890808,-0.25001705,1.4674236,-0.9498112,-0.20439719,-0.34833637,0.0078110453,-0.52824795,0.032445725,-0.6696402,-0.6338015,-0.9831165,1.6299943,-0.31191012,-0.6771008,-0.14206392,0.019104904,0.48924202,0.85647696,0.6874566,-0.5539042,-0.39554214,-0.24488871,-0.030756287,0.17882913,-0.26229092,-0.12694941,-0.047285087,-0.2699252,-0.19062802,0.7029264,-0.5596918,-0.20553881,-0.022951694
